(0.9433498331826495,44.880979155538625)
(27.26168449239449,38.70243394470213)
(24.34400817297966,44.84753040080762)
(40.271936857907356,37.99825416563494)
(0.2892146992208522,63.252235118123046)
(34.08095571958476,54.61132602357228)
(45.56997886473668,51.617475662675915)
(49.22770338191547,48.552706968055894)
(47.40124744857089,50.59094624369862)
(38.14500240750972,69.07673939115983)
(76.197096952389,34.14163369169445)
(7.8199478976360925,84.55960969672512)
(12.670899871598639,86.97210398743891)
(17.83982494399097,93.22267935784072)
(72.09875824143252,62.71768299512963)
(18.111403013698347,95.67603047175326)
(90.61384780658707,39.283460812826654)
(4.3283316737118716,99.00607724975708)
(69.0621809557891,76.52603665591332)
(73.39315728819858,94.51750478026145)
